locationID,Latitude,Longitude
CQM,47.8217,-92.6906
CQW,34.7128,-79.9569
CQX,41.6883,-69.9894
CRC,65.8278,-144.0761
CRE,33.8117,-78.7239
CRG,30.3364,-81.5144
CRO,36.1028,-119.5947
CRP,27.7704,-97.5011
CRQ,33.1283,-117.28
CRS,32.0281,-96.4006
CRT,33.1783,-91.8803
CRW,38.3731,-81.5933
CRX,34.915,-88.6036
CRZ,40.9942,-94.755
CSB,40.3067,-100.1622
CSG,32.5164,-84.9389
CSM,35.3397,-99.2006
CSQ,41.0214,-94.3633
CSR,61.1586,-149.7806
CSV,35.9514,-85.085
CTB,48.6083,-112.3761
CTJ,33.6317,-85.1522
CTK,40.5692,-90.0747
CTY,29.6356,-83.1047
CTZ,34.975,-78.3656
CUB,33.9706,-80.9953
CUH,35.95,-96.7731
CUL,38.0894,-88.1231
CUT,43.7333,-103.6178
CVB,29.3419,-98.8508
CVG,39.0489,-84.6678
CVH,36.8933,-121.4103
CVK,36.265,-91.5628
CVN,34.425,-103.0792
CVO,44.4972,-123.2894
CVS,34.3828,-103.3222
CVX,45.3047,-85.2753
CWA,44.7775,-89.6667
CWC,33.8606,-98.4903
CWF,30.2106,-93.1431
CWI,41.8311,-90.3292
CWS,35.0808,-92.425
CWV,32.195,-81.8694
CXC,61.5828,-144.4272
CXE,36.7883,-78.5017
CXF,67.2522,-150.2039
CXL,32.6694,-115.5133
CXO,30.3525,-95.4144
CXP,39.1922,-119.7344
CXU,31.2131,-84.2353
CXY,40.2172,-76.8514
CYO,39.5161,-82.9822
CYS,41.1556,-104.8106
CYT,60.0819,-142.4936
CYW,39.3872,-97.1572
CZD,40.8697,-100.0042
CZF,61.7811,-166.0394
CZG,42.0786,-76.0964
CZK,45.6769,-121.8789
CZL,34.4556,-84.9392
CZN,62.0711,-142.0483
CZO,62.5633,-144.6689
CZT,28.5222,-99.8236
DAA,38.715,-77.1811
DAB,29.18,-81.0581
DAF,44.0333,-90.085
DAG,34.8536,-116.7867
DAL,32.8472,-96.8517
DAN,36.5728,-79.3361
DAW,43.2842,-70.9292
DAY,39.9025,-84.2194
DBN,32.5644,-82.9853
DBQ,42.4019,-90.7094
DCA,38.8522,-77.0378
DCK,66.9433,-156.9047
DCM,34.7894,-81.1958
DCU,34.6542,-86.9453
DCY,38.7006,-87.1297
DDC,37.7631,-99.9656
DDH,42.8911,-73.2461
DDT,62.7247,-143.9206
DEC,39.8344,-88.8656
DED,29.0669,-81.2839
DEE,66.0694,-162.7664
DEH,43.2756,-91.7394
DEN,39.8617,-104.6731
DEQ,34.0469,-94.3994
DET,42.4092,-83.01
DEW,47.9669,-117.4286
DFI,41.3375,-84.4289
DFW,32.8969,-97.0381
DGG,68.0322,-162.8992
DGL,31.3425,-109.5064
DGW,42.7972,-105.3858
DHN,31.3214,-85.4497
DHT,36.0225,-102.5472
DIJ,43.7425,-111.0975
DIK,46.7975,-102.8019
DKB,41.9339,-88.7056
DKK,42.4933,-79.2719
DKR,31.3069,-95.4039
DKX,35.9639,-83.8736
DLC,34.4492,-79.3686
DLF,29.3594,-100.7811
DLG,59.0447,-158.5056
DLH,46.8422,-92.1936
DLL,43.5219,-89.7708
DLN,45.2553,-112.5525
DLO,35.7456,-119.2364
DLS,45.6186,-121.1672
DLZ,40.2797,-83.1147
DMA,32.1664,-110.8831
DMN,32.2622,-107.7206
DMO,38.7075,-93.1758
DMW,39.6083,-77.0078
DNL,33.4664,-82.0394
DNN,34.7231,-84.8703
DNS,41.9867,-95.3806
DNV,40.1997,-87.5956
DOV,39.1294,-75.4661
DPA,41.9069,-88.2483
DPG,40.1975,-112.935
DPL,35,-77.9817
DQH,31.4767,-82.8606
DRA,36.6194,-116.0328
DRI,30.8317,-93.34
DRM,46.0094,-83.7439
DRO,37.1514,-107.7539
DRT,29.3742,-100.9272
DSM,41.5339,-93.6631
DSV,42.5708,-77.7131
DTA,39.3806,-112.5078
DTG,41.1333,-88.4408
DTL,46.8253,-95.8856
DTN,32.5403,-93.745
DTO,33.2008,-97.1981
DTS,30.4,-86.4714
DTW,42.2125,-83.3533
